DISTRICT,1/06/2007,1/09/2007,1/12/2007,1/03/2008,1/06/2008,1/09/2008,1/12/2008,1/03/2009,1/06/2009,1/09/2009,1/12/2009,1/03/2010,1/06/2010,1/09/2010,1/12/2010,1/03/2011,1/06/2011,1/09/2011,1/12/2011,1/03/2012,1/06/2012,1/09/2012,1/12/2012,1/03/2013,1/06/2013,1/09/2013,1/12/2013,1/03/2014,1/06/2014,1/09/2014,1/12/2014,1/03/2015,1/06/2015,1/09/2015,1/12/2015,1/03/2016,1/06/2016,1/09/2016,1/12/2016,1/03/2017,1/06/2017
ASHBURTON DISTRICT,1356697,1339578,1358675,1350463,1383330,1394965,1405683,1279456,1347938,1278298,1269928,1188792,1194880,1286681,1287773,1319745,1457429,1455176,1399295,1339837,1390686,1414914,1396190,1361458,1490209,1482771,1433879,1424408,1518985,1454328,1523042,1483824,1562143,1557209,1502430,1452774,1525648,1482218,1529018,1411310,1522714
AUCKLAND CITY,72275887,74734818,74034057,63585879,68529123,70374291,69288326,60500409,64201006,66885992,65495832,58197215,61979391,64310354,63387317,58675432,63193029,66463862,65309400,58472585,61013847,63192745,63325372,55652641,60119057,61679938,61101629,55501390,59591668,62762043,63522389,57602458,62682977,66051215,66357326,60303315,66650895,69324345,70375888,63416598,68652658
BULLER DISTRICT,666861,663420,751160,690723,635084,690280,753932,644589,625608,618446,685535,600668,598521,622053,694888,706829,680674,692840,813687,743998,693103,774199,796733,657968,686303,690866,684008,671772,647432,642376,710670,576473,561461,542232,585469,515330,491933,525724,516741,515273,500513
CARTERTON DISTRICT,323319,354821,360042,344714,332967,335821,368935,320380,320664,343388,351890,305356,314921,347215,311187,307120,364025,388583,421251,388790,355496,373547,372953,356718,320352,339400,310153,291241,285504,303305,273358,252859,245922,239488,245824,267126,334309,273234,326669,277336,259363
CENTRAL HAWKE'S BAY DISTRICT,644719,571836,647540,590757,609532,606340,647514,630980,632282,655880,614891,542316,579137,587657,560270,583220,578052,645311,580518,566890,560083,522342,510611,506865,473157,439478,460714,484206,502037,465321,492183,447642,458896,452332,467331,438580,481727,471841,486088,444133,468728
CENTRAL OTAGO DISTRICT,1002990,1016044,1100282,1139120,966527,944260,997428,1048921,851612,902463,908391,918113,822564,854427,907498,933295,868745,882026,917006,917824,817525,821242,907763,897905,794958,819371,806620,919952,788579,765161,830470,876793,810412,796763,812752,983367,867483,909886,919355,1039806,914458
CHATHAM ISLANDS DISTRICT,39153,41547,55629,31594,29287,2898,NA,22079,28478,34813,31287,40793,35067,26833,53201,36018,35165,35234,44290,42546,45734,42068,67343,56777,45075,51633,49898,39510,47679,41485,52612,43415,42157,55576,42948,39074,41903,52630,82713,32135,36004
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,22226799,22852194,23581932,20667259,21523331,21463883,21294372,19235344,19732869,19869345,20159848,18439159,18891214,19316519,20194321,19037707,22887132,20943951,21217112,19569145,19477187,20140192,20559011,18226400,20092077,20083735,20498322,18697852,19628868,20872655,20648724,18634507,19677340,20202477,20008072,17903886,19033174,19444696,19544055,17601126,18821078
CLUTHA DISTRICT,515444,486602,477469,544002,558462,499583,478603,529085,528074,521787,510006,489378,494850,500501,486558,490219,511863,492077,486925,545033,489973,543949,482905,484220,503209,471553,451885,499515,514759,490120,436534,505767,479257,467270,471330,529087,565201,499007,453355,519281,570537
DUNEDIN CITY,5731249,5887182,6077962,5346120,5568012,5596924,5494314,4972246,5095729,4916615,4955279,4452264,4565142,4796336,4828681,4583775,4745316,4844965,4799524,4557186,4524631,4659285,4720583,4257636,4443281,4270928,4411250,4062256,4228423,4300633,4345560,3924743,4131545,4173642,4163540,3889779,4303466,4169526,4246481,4034251,4148926
FAR NORTH DISTRICT,4501186,4511530,4794237,4366248,4254002,4247623,4368573,4002518,3980739,3913597,3817685,3674989,3835628,3762542,3769840,3713692,3809891,3748349,3701604,3655903,3599775,3683578,3743821,3282487,3447515,3172638,3212705,3130590,3134137,3154888,3231755,3125007,3214465,3190413,3326872,3258349,3431220,3456640,3547757,3388531,3553378
GISBORNE DISTRICT,2692664,2722344,2689840,2605584,2537799,2555182,2445229,2273955,2355812,2317488,2375628,2227332,2300958,2373807,2428020,2477514,2451348,2560168,2499348,2377509,2483700,2445407,2523625,2302167,2425370,2300065,2217336,2182964,2288350,2308386,2259474,2209158,2390227,2373375,2373755,2266407,2607518,2591959,2667737,2526036,2652224
GORE DISTRICT,925761,811092,877449,876484,927212,904608,926272,871942,922332,828584,800026,780209,883355,818831,758480,789604,867453,828632,781034,801619,748665,748421,800141,792372,804923,745534,743541,750528,733557,702418,695760,710400,702728,666996,697090,691121,706468,694180,723057,734249,747200
GREY DISTRICT,1003633,1008295,1076563,1067225,1032705,1014811,1059035,1027741,1040217,1061917,1092831,1041561,990645,1026926,1123024,1002035,1038617,1053665,1022038,1004677,1065538,1013865,1021059,917827,797829,859404,842654,833117,822021,819200,861094,808371,824335,858161,856919,802781,820997,774693,794862,794188,795968
HAMILTON CITY,6737489,7051340,7088248,6076375,6568417,6772840,6640394,5779895,6297933,6416367,6399080,5691613,6146780,6286942,6007120,5741803,6121680,6098417,6034593,5391806,5739708,5828408,5906013,5228241,5842487,5831790,5556350,5140560,5491745,5675349,5657764,5141848,5712801,6116840,5919638,5517602,6090350,5920743,5993742,5644425,6026792
HASTINGS DISTRICT,4710446,4371400,4453451,4190613,4484746,4344566,4347100,4106552,4209068,4135951,4040199,3714503,4098006,4013015,4108570,3971433,4163816,4045717,4029997,3714244,3878741,3801553,3796864,3606503,3922302,3762586,3746346,3625583,3830386,3884395,3749898,3565245,4092399,3996209,3963090,3853107,4322233,4300801,4316233,4283111,4596466
HAURAKI DISTRICT,1224474,1276136,1199209,1147550,1214384,1154151,1161053,1031716,1033245,1056791,1065202,935233,985853,951942,972823,931442,983126,1001084,1072548,986731,985653,1024662,1004469,994189,1029168,994857,1060166,1102963,1110147,1100228,1059857,1046184,1039045,1042826,1123034,1069153,1134356,1184231,1209502,1163173,1219790
HOROWHENUA DISTRICT,2122416,2181564,2249529,2024037,2160824,2056372,2056852,2007140,2012099,2102101,2045150,1865580,1953609,2084308,2009544,1995811,2022818,1884276,1888947,1968372,1918694,1891887,1857780,1684212,1936740,1835217,1854263,1773715,1868033,1802913,1759294,1662828,1897272,1874538,1886614,1736361,1935905,1861944,1996594,1885378,1937594
HURUNUI DISTRICT,402355,375823,412613,431195,408727,367090,449042,429980,401491,373112,330099,385449,323043,359750,374751,439715,433019,428736,436446,457116,444709,458816,417403,435761,415365,436981,450920,442844,431392,405467,409680,451749,400069,400030,375081,406247,401508,423509,409758,376525,393844
INVERCARGILL CITY,4334461,4224682,4293096,4126081,4442937,4336277,4392689,4303620,4307322,4136794,4045393,3801525,4131867,3961260,3981947,3943661,4209923,3916029,3895109,3867066,4033824,3698406,3858234,3611871,3804529,3490195,3487088,3512713,3732832,3558821,3528024,3436351,3854192,3696253,3703487,3489561,3685216,3608347,3752533,3636489,3856654
KAIKOURA DISTRICT,314752,265761,370936,354106,310119,283730,332134,325719,274242,248494,284851,307726,266595,228329,265861,314182,289704,231428,285724,333223,265942,229041,332925,308451,240556,224472,305230,323718,237219,222365,284561,267006,261462,236448,292749,286817,260374,223882,187215,165215,203919
KAIPARA DISTRICT,652713,673058,707647,623644,646949,671361,690932,627317,622091,623455,634197,672670,656354,601963,634751,526334,592460,568820,658174,626532,563777,575523,569685,548971,540209,554448,589426,582484,631380,619439,666194,619310,687627,620995,698141,678549,684082,734416,748829,737035,751968
KAPITI COAST DISTRICT,2292366,2327457,2366276,2198055,2249232,2269093,2223474,1985897,2219742,2214391,2246728,2088667,2227503,2302259,2231868,2063213,2167514,2132822,2120034,2081695,2173081,2239488,2288944,2109563,2348694,2332597,2263126,2148744,2162670,2153891,2229776,2021373,2173050,2102831,1954944,1862103,1961187,1995253,2093516,2086155,2162505
